strategy,model,fold,f1_macro,auc_roc
Sin balanceo,DecisionTree,1,1.0,1.0
Sin balanceo,DecisionTree,2,1.0,1.0
Sin balanceo,DecisionTree,3,0.9972953713600881,0.9980555804168862
Sin balanceo,DecisionTree,4,0.997265612208141,0.996604037810713
Sin balanceo,DecisionTree,5,1.0,1.0
Sin balanceo,SVM,1,0.7933539015757761,0.9910731294574718
Sin balanceo,SVM,2,0.8058428879152212,0.9949756061282926
Sin balanceo,SVM,3,0.807173717703302,0.9948839021309895
Sin balanceo,SVM,4,0.7728025111288656,0.9931541453613724
Sin balanceo,SVM,5,0.8071265278418153,0.9967306912582288
Sin balanceo,MLP,1,0.8116230096104026,0.9892628021139493
Sin balanceo,MLP,2,0.8879327791165913,0.9963410599259996
Sin balanceo,MLP,3,0.8547134926851724,0.9944843525892926
Sin balanceo,MLP,4,0.7616465841920379,0.982575929140876
Sin balanceo,MLP,5,0.7993067573882292,0.9926340031216645
SMOTE,DecisionTree,1,0.9908801539714265,0.9999899059477293
SMOTE,DecisionTree,2,0.9947054720689874,0.9997536904971864
SMOTE,DecisionTree,3,0.9881956697538694,0.9961258942591137
SMOTE,DecisionTree,4,0.9895530114824777,0.997944211297104
SMOTE,DecisionTree,5,0.9973244039989746,0.9997535615115296
SMOTE,SVM,1,0.8252861003574425,0.9918121442298722
SMOTE,SVM,2,0.8436863399691426,0.9919377036215102
SMOTE,SVM,3,0.829522572428609,0.9945707394390564
SMOTE,SVM,4,0.8417543621024081,0.9949260274881875
SMOTE,SVM,5,0.8351011609608087,0.9975273099413544
SMOTE,MLP,1,0.8327383217078841,0.9917807744471835
SMOTE,MLP,2,0.8669347291379121,0.9963277522692987
SMOTE,MLP,3,0.8852504337346039,0.9957104796446863
SMOTE,MLP,4,0.9064781638850052,0.9973388076956748
SMOTE,MLP,5,0.9217698326866268,0.9980149994813352
ADASYN,DecisionTree,1,0.9932758239327584,0.9952071824791899
ADASYN,DecisionTree,2,0.9934166177183652,0.9997536904971864
ADASYN,DecisionTree,3,0.992058208103481,0.9981871112236782
ADASYN,DecisionTree,4,0.9973244039989746,0.9995071230230593
ADASYN,DecisionTree,5,1.0,1.0
ADASYN,SVM,1,0.8294614187709859,0.9909868006098783
ADASYN,SVM,2,0.8731157677929433,0.9919265125443852
ADASYN,SVM,3,0.8236101738764485,0.9944277745848794
ADASYN,SVM,4,0.8364963971477636,0.9939679770302771
ADASYN,SVM,5,0.8307007677849567,0.9974287904022192
ADASYN,MLP,1,0.8783777466263196,0.9918042245669273
ADASYN,MLP,2,0.8699221448208588,0.9963461565608792
ADASYN,MLP,3,0.8727310237870991,0.9953206248636709
ADASYN,MLP,4,0.9031141730372527,0.9966660755978826
ADASYN,MLP,5,0.8916711312386407,0.9983847914872866
